ああ	ああ	啊	5
あう	会う	见面；碰见	5
あお	青	蓝色；绿色（信号灯）；未成熟	5
あおい	青い	蓝色的；绿色的；未成熟的；青涩的	5
あか	赤	红色；完全	5
あかい	赤い	红色的	5
あかるい	明るい	明亮的；开朗的	5
あがる	上がる	（价格、温度）上升；位置或数值提高	5
あき	秋	秋天	5
あける	開ける	打开（门、窗）；开张	5
あげる	上げる	举高（箱子、手）；提高	5
あげる	あげる	给；赠送	5
あさ	朝	早晨，早上	5
あさごはん	朝ご飯	早饭	5
あさって	あさって	后天	5
あし	足	脚，腿	5
あし	脚	脚；腿	5
あした	明日	明天	5
あそこ	あそこ	那里	5
あそこ	彼処	那里，那儿	5
あそぶ	遊ぶ	玩	5
あたま	頭	头；脑袋	5
あたらしい	新しい	新的	5
あちら	あちら	那边；那位	5
あちら	彼方	那边；那位	5
あっち	あっち	那边	5
あつい	厚い	厚的	5
あつい	暑い	热的（天气）	5
あつい	熱い	热的；烫的	5
あと	後	后面；之后	5
あと	あと	之后；还剩；另外	5
あとで	後で	之后	5
あなた	あなた	你	5
あなた	貴方	您；你；你	5
あに	兄	哥哥（自己的）	5
あね	姉	姐姐（自己的）	5
あの	あの	那个（定语）	5
あのう	あのう	那个……；请问	5
あのひと	あの人	那个人	5
あびる	浴びる	淋浴；洗澡	5
あぶない	危ない	危险的	5
あまい	甘い	甜的；宽松的	5
あまり	あまり	不太；不很	5
あまり	余り	剩余；不太	5
あめ	雨	雨，雨天	5
あらう	洗う	洗	5
ありがとう	ありがとう	谢谢	5
ある	ある	有；存在	5
あるく	歩く	走路	5
あれ	あれ	那个；咦；哎呀	5
あんな	あんな	那样的；那种的	5
いい	いい	好的；可以	5
いい	良い	好的	5
いいえ	いいえ	不；不是	5
いう	言う	说；叫作	5
いえ	家	房子；家庭	5
いえ	いえ	不；不是	5
いかが	いかが	怎么样；如何	5
いかが	如何	如何；怎样	5
いく	行く	去	5
いくつ	いくつ	几个；几岁	5
いくら	いくら	多少；多少钱	5
いくら	幾ら	多少；多少钱	5
いけ	池	水池，水塘	5
いしゃ	医者	医生	5
いす	椅子	椅子；地位	5
いそがしい	忙しい	忙碌的	5
いそぐ	急ぐ	赶快	5
いたい	痛い	疼的	5
いただく	頂く	收下；吃（谦）	5
いち	一	一；第一	5
いちがつ	一月	一月	5
いちご	いちご	草莓	5
いちど	一度	一次，一回	5
いちにち	一日	一天	5
いちばん	一番	第一；最	5
いっしょ	一緒	一起；一样	5
いっしょに	一緒に	一起，一同	5
いっぱい	いっぱい	满；很多	5
いつ	いつ	什么时候	5
いつ	何時	什么时候	5
いつか	五日	五号；五天	5
いつか	いつか	总有一天；曾经	5
いつつ	五つ	五个；五岁	5
いつでも	いつでも	随时	5
いつも	いつも	总是	5
いつも	何時も	总是	5
いぬ	犬	狗	5
いま	今	现在	5
いもうと	妹	妹妹	5
いらっしゃいませ	いらっしゃいませ	欢迎光临	5
いらっしゃる	いらっしゃる	来（尊敬）；去；在	5
いる	いる	在；有（生物）	5
いる	要る	需要	5
いれる	入れる	放入；放进；沏（茶等）	5
いろ	色	颜色；肤色；种类	5
いろいろ	いろいろ	各种各样	5
いろいろ	色々	各种各样	5
ううん	ううん	不，不是	5
うえ	上	上面；空间方位	5
うし	牛	牛	5
うしろ	後ろ	后面（空间、背后）；背后	5
うすい	薄い	薄的；淡的	5
うた	歌	歌曲	5
うたう	歌う	唱歌	5
うち	うち	家；内部	5
うち	内	内部；家里；在……期间；趁……之前	5
うまれる	生まれる	（孩子、想法）出生；产生，创立	5
うみ	海	大海，海洋	5
うる	売る	出售（商品、房子）	5
うるさい	うるさい	吵闹的；烦人的	5
うるさい	煩い	吵的；烦人的	5
うれしい	うれしい	高兴的	5
うわぎ	上着	外套；上衣	5
うん	うん	是，是的	5
え	絵	画，绘画	5
えいが	映画	电影	5
えいがかん	映画館	电影院	5
えいご	英語	英语	5
ええ	ええ	嗯；是	5
えき	駅	车站	5
えっ	えっ	啊？；什么？	5
えらぶ	選ぶ	选择	5
えん	円	圆形；日元	5
えんぴつ	鉛筆	铅笔	5
おいしい	おいしい	好吃的	5
おいしい	美味しい	好吃的	5
おおい	多い	多的	5
おおきい	大きい	大的；大幅的	5
おおきな	大きな	大的（定语）	5
おかあさん	お母さん	妈妈，母亲	5
おかし	お菓子	点心；零食	5
おきゃくさん	お客さん	客人；顾客	5
おきる	起きる	（人）起床；站起来、没睡觉；发生	5
おく	置く	放；放置；留在	5
おくさん	奥さん	太太	5
おこさん	お子さん	您家孩子	5
おさけ	お酒	酒	5
おしえる	教える	教；告诉	5
おじ	おじ	叔叔；舅舅	5
おじ	叔父	叔叔；舅舅	5
おじいさん	おじいさん	爷爷；老爷爷	5
おじいさん	お爺さん	祖父；爷爷；老爷爷	5
おじさん	おじさん	叔叔；大叔	5
おそい	遅い	慢的；晚的	5
おちゃ	お茶	茶	5
おっと	夫	丈夫	5
おとうさん	お父さん	爸爸；父亲	5
おとうと	弟	弟弟	5
おとこ	男	男性，男人	5
おとこのこ	男の子	男孩	5
おととい	おととい	前天	5
おととい	一昨日	前天	5
おととし	おととし	前年	5
おとな	大人	成人，大人	5
おなか	おなか	肚子，肠胃	5
おなか	お腹	肚子	5
